nome,desconto_percentual,preco_em_reais,menor_preco_historico,avaliacao_percentual,data_fim,data_inicio,data_lancamento,safra
Supreme Commander,80.0,3.39,,85.2,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-02-19 21:00:00,202409
Supreme Commander: Forged Alliance,80.0,3.39,,94.09,2023-07-13 14:00:00,2023-06-29 14:24:58,2011-09-27 21:00:00,202409
"Warhammer® 40,000: Dawn of War® - Soulstorm",75.0,6.49,3.89,93.0,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-03-04 21:00:00,202409
Frontlines™: Fuel of War™,75.0,8.74,,64.11,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-02-26 21:00:00,202409
Saints Row 2,75.0,4.99,3.99,75.14,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-01-27 21:00:00,202409
Death to Spies,85.0,2.54,2.09,71.72,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-10-15 21:00:00,202409
Blade Kitten,50.0,3.14,1.57,78.67,2023-07-13 14:00:00,2023-06-29 14:24:58,2010-09-21 21:00:00,202409
TimeShift™,50.0,17.49,8.74,75.61,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-10-29 21:00:00,202409
Prototype™,75.0,8.74,8.39,78.35,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-06-09 21:00:00,202409
Disciples III: Reincarnation,50.0,19.5,5.59,69.59,2023-07-13 14:00:00,2023-06-29 14:24:58,2014-02-13 21:00:00,202409
Total War: EMPIRE – Definitive Edition,75.0,15.74,9.24,89.11,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-03-03 21:00:00,202409
Aliens vs. Predator™,80.0,5.59,2.79,88.72,2023-07-13 14:00:00,2023-06-29 14:24:58,2010-02-15 21:00:00,202409
Sherlock Holmes: The Awakened (2008),80.0,7.4,1.99,69.34,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-09-22 21:00:00,202409
Sherlock Holmes versus Jack the Ripper,80.0,7.4,1.99,75.63,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-12-22 21:00:00,202409
Penguins Arena: Sedna's World,90.0,1.19,,84.86,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-12-17 21:00:00,202409
Larva Mortus,67.0,3.46,1.04,72.08,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-03-18 21:00:00,202409
Chains,67.0,3.46,1.04,71.04,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-11-24 21:00:00,202409
Overlord™,75.0,2.12,0.84,90.24,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-06-25 21:00:00,202409
Soldiers: Heroes of World War II,85.0,2.54,1.57,80.56,2023-07-13 14:00:00,2023-06-22 14:01:16,2004-06-28 21:00:00,202409
Manhunt,65.0,5.24,3.74,68.31,2023-07-13 14:00:00,2023-06-29 14:24:58,2004-04-19 21:00:00,202409
Bully: Scholarship Edition,65.0,13.99,8.0,83.06,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-10-20 21:00:00,202409
Grand Theft Auto IV: The Complete Edition,70.0,23.7,5.99,78.87,2023-07-13 14:00:00,2023-06-29 14:24:58,2020-03-23 21:00:00,202409
Sacred Gold,75.0,4.99,1.99,81.82,2023-07-13 14:00:00,2023-06-29 14:24:58,2006-08-13 21:00:00,202409
Darkstar One,80.0,3.99,1.99,77.78,2023-07-13 14:00:00,2023-06-29 14:24:58,2006-08-13 21:00:00,202409
FlatOut: Ultimate Carnage,80.0,6.99,3.49,83.77,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-08-18 21:00:00,202409
Port Royale 2,90.0,0.84,,67.42,2023-07-13 14:00:00,2023-06-29 14:24:58,2004-04-29 21:00:00,202409
Drakensang,80.0,3.39,,75.65,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-02-26 21:00:00,202409
Overlord™: Raising Hell,75.0,4.24,1.69,88.78,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-02-14 21:00:00,202409
Overlord II,75.0,4.24,1.69,85.49,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-06-22 21:00:00,202409
Prince of Persia: Warrior Within™,80.0,5.99,,81.57,2023-07-13 14:00:00,2023-06-29 14:24:58,2004-11-29 21:00:00,202409
Far Cry®,70.0,8.99,4.99,80.3,2023-07-13 14:00:00,2023-06-29 14:24:58,2004-03-22 21:00:00,202409
Prince of Persia: The Two Thrones™,80.0,5.99,,76.03,2023-07-13 14:00:00,2023-06-29 14:24:58,2005-12-06 21:00:00,202409
Tom Clancy's Rainbow Six® Vegas,75.0,7.49,4.99,76.11,2023-07-13 14:00:00,2023-06-29 14:24:58,2006-12-11 21:00:00,202409
Tom Clancy's Splinter Cell®,75.0,7.49,4.99,83.74,2023-07-13 14:00:00,2023-06-29 14:24:58,2003-02-17 21:00:00,202409
Tom Clancy's Splinter Cell Chaos Theory®,75.0,7.49,4.99,89.81,2023-07-13 14:00:00,2023-06-29 14:24:58,2005-03-28 21:00:00,202409
Prince of Persia®: The Sands of Time,80.0,5.99,,82.64,2023-07-13 14:00:00,2023-06-29 14:24:58,2003-12-01 21:00:00,202409
Rayman Raving Rabbids™,75.0,7.49,4.99,79.85,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-03-26 21:00:00,202409
Assassin's Creed™: Director's Cut Edition,70.0,17.99,9.99,81.94,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-04-08 21:00:00,202409
Tom Clancy's Rainbow Six® Vegas 2,75.0,7.49,4.99,82.17,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-04-15 21:00:00,202409
Beyond Good and Evil™,70.0,8.99,4.99,83.33,2023-07-13 14:00:00,2023-06-29 14:24:58,2003-11-10 21:00:00,202409
Heroes of Might & Magic V,75.0,7.49,4.99,84.55,2023-07-13 14:00:00,2023-06-29 14:24:58,2006-05-22 21:00:00,202409
Brothers in Arms: Road to Hill 30™,60.0,11.99,4.99,83.74,2023-07-13 14:00:00,2023-06-29 14:24:58,2005-03-14 21:00:00,202409
Silent Hunter®: Wolves of the Pacific,75.0,7.49,6.79,66.29,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-03-19 21:00:00,202409
Silent Hunter® III,75.0,7.49,6.79,83.75,2023-07-13 14:00:00,2023-06-29 14:24:58,2005-03-14 21:00:00,202409
Cold Fear™,80.0,5.99,4.99,79.81,2023-07-13 14:00:00,2023-06-29 14:24:58,2005-03-27 21:00:00,202409
Tom Clancy's Ghost Recon®,70.0,8.99,4.99,87.64,2023-07-13 14:00:00,2023-06-29 14:24:58,2001-11-12 21:00:00,202409
IL-2 Sturmovik: 1946,75.0,8.24,4.99,85.27,2023-07-13 14:00:00,2023-06-29 14:24:58,2006-12-14 21:00:00,202409
Heroes of Might & Magic V: Tribes of the East,75.0,7.49,4.99,89.02,2023-07-13 14:00:00,2023-06-29 14:24:58,2007-10-15 21:00:00,202409
Brothers in Arms: Hell's Highway™,60.0,11.99,4.99,86.24,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-10-07 21:00:00,202409
The Wonderful End of the World,80.0,3.99,2.79,73.05,2023-07-13 14:00:00,2023-06-29 14:24:58,2008-01-24 21:00:00,202409
AaAaAA!!! - A Reckless Disregard for Gravity,80.0,3.99,1.99,79.2,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-09-02 21:00:00,202409
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,80.0,3.99,,71.43,2023-07-13 14:00:00,2023-06-29 14:24:58,2011-11-22 21:00:00,202409
"Warhammer 40,000: Dawn of War II",75.0,9.24,5.54,86.78,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-02-17 21:00:00,202409
Oddworld: Abe's Oddysee®,75.0,1.57,1.25,82.69,2023-07-13 14:00:00,2023-06-29 14:24:58,1997-12-11 21:00:00,202409
Oddworld: Abe's Exoddus®,75.0,1.57,1.25,89.65,2023-07-13 14:00:00,2023-06-29 14:24:58,1998-11-16 21:00:00,202409
Oddworld: Munch's Oddysee,75.0,2.62,2.09,73.68,2023-07-13 14:00:00,2023-06-29 14:24:58,2010-12-19 21:00:00,202409
Oddworld: Stranger's Wrath HD,75.0,4.99,3.99,83.16,2023-07-13 14:00:00,2023-06-29 14:24:58,2010-12-19 21:00:00,202409
F.E.A.R. 2: Project Origin,75.0,17.49,6.24,83.38,2023-07-13 14:00:00,2023-06-29 14:24:58,2009-02-11 21:00:00,202409
Crysis,75.0,22.25,7.69,77.9,2023-07-13 14:00:00,2023-06-29 14:25:01,2007-11-12 21:00:00,202409
Crysis Warhead®,75.0,14.75,4.39,82.45,2023-07-13 14:00:00,2023-06-29 14:25:01,2008-09-16 21:00:00,202409
SPORE™,80.0,11.8,2.99,90.58,2023-07-13 14:00:00,2023-06-29 14:25:01,2008-12-18 21:00:00,202409
Mirror's Edge™,75.0,14.75,3.99,85.86,2023-07-13 14:00:00,2023-06-29 14:25:01,2009-01-12 21:00:00,202409
SPORE™ Creepy & Cute Parts Pack,75.0,14.75,3.99,85.14,2023-07-13 14:00:00,2023-06-29 14:25:01,2008-12-18 21:00:00,202409
Mass Effect (2007),75.0,39.75,6.59,91.41,2023-07-13 14:00:00,2023-06-29 14:25:01,2008-05-27 21:00:00,202409
Command & Conquer: Red Alert 3,75.0,14.75,5.9,83.4,2023-07-13 14:00:00,2023-06-29 14:25:01,2008-10-27 21:00:00,202409
Nuclear Dawn,90.0,3.29,1.99,75.45,2023-07-13 14:00:00,2023-06-29 14:25:01,2011-09-25 21:00:00,202409
DeathSpank,75.0,14.75,5.9,88.42,2023-07-13 14:00:00,2023-06-29 14:25:01,2010-10-24 21:00:00,202409
